id,gender,birthday,grade,region,last_visited
49,М,05.08.2010,7.0,Город Москва,06.09.2023 02:17:41
50,М,28.03.2010,7.0,Город Москва,06.09.2023 05:35:11
51,Ж,19.09.2007,,Город Москва,06.09.2023 22:46:40
52,М,28.01.2008,9.0,Новосибирская область,30.08.2023 10:08:59
53,Ж,11.02.2007,10.0,Новосибирская область,18.08.2023 18:24:55
54,Ж,24.04.2009,8.0,Город Москва,31.08.2023 17:39:40
55,М,18.03.2008,9.0,Город Москва,18.08.2023 02:54:17
56,Ж,24.03.2008,,Город Москва,15.08.2023 04:46:07
57,Ж,22.02.2009,8.0,Город Санкт-Петербург,30.08.2023 09:16:24
58,Ж,16.06.2007,,Краснодарский край,03.09.2023 16:26:17
59,М,19.06.2007,10.0,Нижегородская область,03.09.2023 07:37:57
60,Ж,14.04.2008,9.0,Город Санкт-Петербург,30.08.2023 09:33:33
61,М,09.04.2008,9.0,Город Санкт-Петербург,25.08.2023 13:42:40
62,Ж,22.04.2010,,Город Москва,28.08.2023 07:20:17
63,М,03.06.2007,,Город Москва,05.09.2023 17:02:32
64,М,10.07.2010,7.0,Город Санкт-Петербург,07.09.2023 13:24:52
65,Ж,02.02.2009,,Город Москва,29.08.2023 12:15:41
66,М,07.02.2007,10.0,Новосибирская область,12.09.2023 16:15:38
67,Ж,29.04.2008,9.0,Город Москва,01.09.2023 18:53:23
68,Ж,09.05.2010,7.0,Город Москва,02.09.2023 20:15:22
69,Ж,07.05.2008,,Город Москва,15.08.2023 18:39:56
70,М,07.04.2009,8.0,Город Москва,03.09.2023 08:57:06
71,М,28.07.2010,7.0,Город Москва,23.08.2023 14:44:06
72,Ж,29.01.2007,10.0,Краснодарский край,24.08.2023 19:13:30
73,Ж,10.05.2009,8.0,Город Москва,05.09.2023 05:52:35
74,М,11.08.2009,8.0,Город Москва,28.08.2023 06:29:47
75,М,05.02.2009,8.0,Город Москва,09.09.2023 07:34:33
76,Ж,24.11.2007,9.0,Нижегородская область,24.08.2023 18:30:43
77,М,04.08.2009,8.0,Новосибирская область,15.08.2023 14:03:46
78,М,12.05.2009,8.0,Город Москва,06.09.2023 18:34:21
79,Ж,22.03.2007,10.0,Нижегородская область,07.09.2023 08:33:54
80,Ж,04.08.2008,9.0,Город Москва,31.08.2023 02:54:06
81,М,02.04.2008,9.0,Город Санкт-Петербург,30.08.2023 07:54:26
82,Ж,10.02.2009,8.0,Город Москва,07.09.2023 13:09:39
83,Ж,24.03.2009,8.0,Город Москва,22.08.2023 16:32:03
84,Ж,12.07.2009,,Город Москва,12.09.2023 05:46:39
85,Ж,03.02.2007,,Город Москва,22.08.2023 14:15:01
86,М,29.05.2008,9.0,Город Санкт-Петербург,31.08.2023 22:50:44
87,М,07.01.2007,10.0,Город Москва,07.09.2023 19:22:25
88,М,30.07.2008,9.0,Город Санкт-Петербург,20.08.2023 23:54:56
89,М,22.01.2007,,Краснодарский край,22.08.2023 06:54:10
90,М,22.10.2008,8.0,Новосибирская область,17.08.2023 05:47:28
91,Ж,11.12.2009,7.0,Новосибирская область,23.08.2023 19:18:56
92,Ж,27.09.2006,10.0,Нижегородская область,24.08.2023 16:21:40
93,М,15.01.2010,7.0,Город Москва,09.09.2023 18:14:03
94,Ж,28.02.2010,7.0,Краснодарский край,06.09.2023 15:16:54
95,Ж,31.08.2008,9.0,Город Санкт-Петербург,20.08.2023 14:13:43
96,Ж,15.07.2010,7.0,Город Москва,05.09.2023 06:43:54
97,Ж,25.06.2009,,Новосибирская область,05.09.2023 19:14:43
98,М,05.03.2009,8.0,Город Москва,22.08.2023 12:59:53
99,Ж,09.08.2010,7.0,Город Санкт-Петербург,10.09.2023 05:12:38
100,Ж,04.02.2007,10.0,Город Москва,25.08.2023 03:31:30
101,М,15.06.2009,,Город Москва,24.08.2023 08:12:40
102,М,23.10.2009,7.0,Новосибирская область,24.08.2023 17:42:32
103,Ж,11.01.2009,8.0,Город Москва,05.09.2023 03:08:09
104,М,19.05.2010,7.0,Город Москва,23.08.2023 08:03:37
105,М,15.01.2010,7.0,Город Москва,19.08.2023 09:05:01
106,М,13.05.2009,8.0,Город Москва,21.08.2023 17:08:36
107,Ж,01.01.2007,10.0,Город Москва,25.08.2023 06:03:47
108,Ж,10.07.2010,7.0,Город Москва,19.08.2023 13:20:38
109,Ж,16.05.2010,7.0,Город Санкт-Петербург,22.08.2023 02:16:10
110,М,03.08.2007,10.0,Город Санкт-Петербург,18.08.2023 02:59:35
111,Ж,30.08.2009,8.0,Город Москва,12.09.2023 16:59:46
112,Ж,29.07.2009,,Город Москва,23.08.2023 21:24:31
113,Ж,27.08.2008,9.0,Город Москва,23.08.2023 13:57:36
114,М,18.08.2009,8.0,Краснодарский край,17.08.2023 03:24:25
115,Ж,14.08.2007,,Город Санкт-Петербург,22.08.2023 06:05:01
116,Ж,12.09.2007,10.0,Новосибирская область,05.09.2023 15:08:15
117,Ж,13.12.2009,7.0,Город Москва,12.09.2023 17:57:56
118,Ж,14.09.2007,,Город Санкт-Петербург,09.09.2023 17:27:50
119,М,16.01.2009,8.0,Нижегородская область,25.08.2023 15:35:01
120,Ж,04.10.2006,10.0,Город Москва,02.09.2023 18:14:39
121,М,11.06.2008,9.0,Город Санкт-Петербург,09.09.2023 10:02:10
122,Ж,24.01.2009,,Город Санкт-Петербург,23.08.2023 13:04:17
123,М,30.03.2007,10.0,Краснодарский край,26.08.2023 10:03:52
124,Ж,02.11.2008,8.0,Новосибирская область,03.09.2023 13:28:16
125,М,05.05.2007,10.0,Город Москва,16.08.2023 09:52:09
126,М,29.09.2006,10.0,Город Москва,29.08.2023 22:04:13
127,М,19.09.2009,,Новосибирская область,06.09.2023 01:27:08
128,М,31.08.2010,7.0,Краснодарский край,06.09.2023 16:49:31
129,М,31.01.2010,7.0,Город Москва,09.09.2023 15:09:37
130,М,13.05.2007,10.0,Город Москва,01.09.2023 11:49:56
131,М,09.03.2010,7.0,Город Москва,04.09.2023 18:33:53
132,М,22.07.2008,9.0,Новосибирская область,09.09.2023 16:41:39
133,М,11.02.2008,9.0,Город Москва,10.09.2023 14:52:20
134,Ж,14.12.2009,7.0,Краснодарский край,04.09.2023 21:01:05
135,М,23.10.2008,,Город Санкт-Петербург,28.08.2023 11:36:44
136,М,14.02.2007,10.0,Нижегородская область,20.08.2023 01:44:27
137,Ж,30.03.2010,7.0,Краснодарский край,03.09.2023 02:17:47
138,Ж,26.11.2006,10.0,Нижегородская область,26.08.2023 08:51:23
139,Ж,24.07.2008,9.0,Нижегородская область,08.09.2023 21:35:02
140,М,13.08.2009,8.0,Город Москва,28.08.2023 19:01:07
141,Ж,19.10.2008,,Город Москва,11.09.2023 12:56:30
142,М,07.05.2008,9.0,Город Санкт-Петербург,10.09.2023 11:41:01
143,М,24.05.2008,9.0,Краснодарский край,05.09.2023 13:03:05
144,Ж,28.04.2009,8.0,Город Москва,17.08.2023 06:02:08
145,М,19.12.2006,10.0,Город Москва,18.08.2023 11:57:19
146,Ж,10.02.2007,10.0,Город Москва,26.08.2023 21:14:39
147,Ж,16.06.2009,8.0,Город Санкт-Петербург,16.08.2023 07:01:36
148,М,14.07.2007,10.0,Город Москва,14.08.2023 07:33:28
149,М,17.07.2007,10.0,Город Санкт-Петербург,22.08.2023 06:13:56
150,Ж,11.08.2010,7.0,Город Санкт-Петербург,15.08.2023 00:42:27
151,М,27.12.2009,7.0,Краснодарский край,16.08.2023 14:01:22
152,М,03.03.2009,8.0,Город Москва,15.08.2023 00:00:20
153,Ж,02.02.2009,8.0,Новосибирская область,04.09.2023 10:03:29
154,М,05.11.2009,,Город Москва,16.08.2023 08:50:24
155,М,12.03.2007,,Нижегородская область,31.08.2023 20:46:52
156,Ж,08.12.2007,,Город Москва,14.08.2023 14:34:56
157,Ж,24.11.2008,8.0,Город Москва,20.08.2023 16:38:03
158,М,07.10.2009,7.0,Город Москва,01.09.2023 17:56:11
159,М,29.05.2007,10.0,Город Москва,22.08.2023 13:18:28
160,Ж,24.04.2007,,Город Москва,14.08.2023 06:32:59
161,М,09.04.2009,8.0,Новосибирская область,01.09.2023 12:45:41
162,М,11.08.2009,8.0,Нижегородская область,24.08.2023 02:24:16
163,М,23.10.2008,8.0,Новосибирская область,27.08.2023 16:12:56
164,М,21.06.2009,,Город Москва,30.08.2023 08:25:21
165,М,06.06.2008,9.0,Город Санкт-Петербург,22.08.2023 02:58:34
166,М,28.07.2007,10.0,Город Москва,21.08.2023 10:11:34
167,Ж,03.01.2008,,Город Москва,30.08.2023 19:23:47
168,М,27.02.2008,9.0,Город Санкт-Петербург,16.08.2023 16:14:03
169,Ж,21.10.2006,10.0,Город Москва,17.08.2023 15:24:19
170,М,03.01.2010,7.0,Город Москва,05.09.2023 08:20:31
171,Ж,16.02.2010,7.0,Город Москва,19.08.2023 05:24:40
172,М,16.06.2008,9.0,Город Санкт-Петербург,14.08.2023 23:55:05
173,Ж,17.05.2008,9.0,Новосибирская область,16.08.2023 10:31:24
174,М,16.05.2008,9.0,Новосибирская область,21.08.2023 23:28:30
175,М,09.11.2008,8.0,Город Москва,03.09.2023 07:29:34
176,Ж,21.04.2009,,Краснодарский край,16.08.2023 14:33:55
177,М,17.12.2008,,Краснодарский край,30.08.2023 22:04:03
178,Ж,14.05.2009,8.0,Город Санкт-Петербург,19.08.2023 11:28:14
179,Ж,18.06.2008,,Город Москва,22.08.2023 11:29:25
180,Ж,15.06.2008,9.0,Город Москва,28.08.2023 13:48:00
181,М,19.08.2008,9.0,Город Москва,26.08.2023 23:37:08
182,М,12.09.2009,8.0,Город Санкт-Петербург,22.08.2023 22:11:10
183,Ж,26.06.2008,9.0,Город Москва,05.09.2023 22:27:31
184,Ж,06.04.2007,10.0,Новосибирская область,01.09.2023 23:02:26
185,Ж,17.12.2009,7.0,Город Москва,19.08.2023 22:38:38
186,Ж,23.06.2008,9.0,Город Санкт-Петербург,28.08.2023 05:26:00
187,М,27.05.2009,8.0,Город Санкт-Петербург,15.08.2023 21:30:28
188,Ж,06.01.2009,8.0,Город Москва,04.09.2023 21:43:39
189,Ж,02.11.2007,9.0,Краснодарский край,07.09.2023 11:10:36
190,М,17.07.2010,,Город Москва,05.09.2023 20:37:26
191,М,30.01.2009,,Новосибирская область,03.09.2023 11:11:31
192,М,10.03.2007,10.0,Город Санкт-Петербург,14.08.2023 22:57:24
193,Ж,27.12.2009,7.0,Нижегородская область,31.08.2023 14:00:35
194,Ж,12.12.2006,10.0,Город Москва,08.09.2023 07:17:41
195,Ж,08.04.2009,8.0,Город Санкт-Петербург,24.08.2023 02:43:10
196,М,14.03.2007,10.0,Город Москва,26.08.2023 08:45:42
197,Ж,22.01.2009,8.0,Город Санкт-Петербург,14.08.2023 05:47:48
198,Ж,12.09.2007,10.0,Город Москва,10.09.2023 18:56:04
199,М,01.11.2007,,Город Москва,28.08.2023 14:29:02
200,М,08.06.2008,9.0,Нижегородская область,01.09.2023 10:35:20
201,М,13.03.2008,9.0,Город Санкт-Петербург,14.08.2023 11:32:24
202,Ж,10.12.2008,8.0,Город Москва,04.09.2023 07:27:11
203,Ж,17.05.2008,9.0,Город Москва,01.09.2023 10:47:07
204,Ж,04.10.2007,,Краснодарский край,23.08.2023 12:42:43
205,Ж,20.05.2008,9.0,Новосибирская область,03.09.2023 09:32:59
206,Ж,24.11.2008,8.0,Нижегородская область,09.09.2023 03:13:05
207,М,22.01.2008,9.0,Новосибирская область,08.09.2023 12:46:44
208,Ж,16.04.2010,7.0,Нижегородская область,01.09.2023 15:27:11
209,М,28.03.2008,,Город Москва,22.08.2023 08:19:25
210,Ж,03.04.2007,10.0,Город Санкт-Петербург,19.08.2023 18:48:17
211,Ж,03.05.2007,,Город Москва,22.08.2023 07:30:35
212,Ж,22.01.2008,9.0,Краснодарский край,12.09.2023 14:18:25
213,Ж,14.08.2009,8.0,Город Москва,20.08.2023 16:25:33
214,М,03.08.2009,8.0,Город Москва,26.08.2023 04:05:08
215,Ж,12.08.2007,10.0,Город Москва,18.08.2023 06:26:30
216,М,11.11.2006,10.0,Новосибирская область,29.08.2023 10:59:29
217,М,05.04.2008,9.0,Нижегородская область,16.08.2023 02:46:54
218,Ж,05.10.2009,7.0,Новосибирская область,19.08.2023 07:07:02
219,Ж,14.08.2008,9.0,Новосибирская область,22.08.2023 07:24:59
220,Ж,27.11.2006,10.0,Город Москва,30.08.2023 04:16:02
221,М,21.10.2006,10.0,Город Москва,28.08.2023 23:49:03
222,М,13.12.2007,9.0,Новосибирская область,17.08.2023 18:01:18
223,М,15.05.2008,9.0,Город Санкт-Петербург,05.09.2023 12:54:24
224,Ж,16.01.2009,8.0,Город Москва,04.09.2023 21:32:09
225,Ж,07.03.2007,10.0,Город Москва,31.08.2023 02:22:27
226,Ж,18.05.2008,9.0,Город Москва,28.08.2023 16:54:37
227,М,01.11.2009,7.0,Город Москва,04.09.2023 17:52:46
228,М,09.09.2010,,Город Москва,27.08.2023 03:11:52
229,Ж,23.07.2008,9.0,Город Москва,24.08.2023 21:09:00
230,М,19.11.2009,7.0,Город Москва,21.08.2023 21:31:57
231,Ж,16.12.2007,9.0,Нижегородская область,22.08.2023 14:26:29
232,Ж,31.10.2007,9.0,Город Москва,27.08.2023 20:24:02
233,М,18.04.2009,8.0,Город Москва,09.09.2023 03:01:12
234,Ж,02.12.2008,8.0,Город Москва,07.09.2023 02:57:13
235,М,03.05.2008,9.0,Город Москва,20.08.2023 08:09:38
236,М,12.08.2009,8.0,Краснодарский край,31.08.2023 17:49:23
237,Ж,10.10.2007,9.0,Город Москва,14.08.2023 08:21:45
238,М,18.06.2008,,Новосибирская область,16.08.2023 16:15:48
239,Ж,12.07.2009,8.0,Город Санкт-Петербург,08.09.2023 06:04:13
240,М,16.04.2009,,Нижегородская область,08.09.2023 16:05:41
241,Ж,21.12.2009,7.0,Город Санкт-Петербург,24.08.2023 07:37:22
242,М,11.08.2009,8.0,Город Санкт-Петербург,20.08.2023 04:53:03
243,Ж,01.06.2009,8.0,Город Москва,18.08.2023 04:51:09
244,М,05.01.2007,10.0,Город Москва,16.08.2023 14:07:50
245,М,21.03.2007,,Город Москва,22.08.2023 13:37:25
246,Ж,19.03.2008,9.0,Нижегородская область,01.09.2023 08:44:33
247,Ж,22.02.2010,7.0,Город Санкт-Петербург,02.09.2023 20:24:16
248,Ж,22.06.2010,7.0,Город Москва,23.08.2023 08:37:07
249,М,31.01.2009,,Краснодарский край,08.09.2023 14:10:22
250,Ж,11.08.2009,,Город Москва,26.08.2023 08:24:34
251,М,06.02.2007,10.0,Новосибирская область,25.08.2023 13:51:37
252,М,27.05.2008,9.0,Город Санкт-Петербург,26.08.2023 00:39:24
253,Ж,05.10.2008,8.0,Город Москва,15.08.2023 18:22:38
254,М,21.12.2007,9.0,Город Москва,16.08.2023 02:16:48
255,М,27.10.2006,,Город Москва,02.09.2023 03:09:48
256,Ж,07.09.2007,10.0,Город Санкт-Петербург,21.08.2023 15:52:25
257,Ж,09.12.2008,,Новосибирская область,28.08.2023 08:26:42
258,М,26.07.2010,7.0,Краснодарский край,10.09.2023 07:46:20
259,Ж,16.06.2008,9.0,Город Москва,30.08.2023 19:38:34
260,Ж,20.05.2008,9.0,Город Санкт-Петербург,29.08.2023 15:36:07
261,М,12.08.2009,8.0,Город Санкт-Петербург,26.08.2023 05:38:20
262,Ж,02.03.2007,10.0,Город Москва,25.08.2023 13:16:48
263,Ж,18.04.2007,10.0,Город Санкт-Петербург,27.08.2023 13:39:51
264,Ж,13.02.2009,,Город Санкт-Петербург,04.09.2023 06:21:43
265,М,03.11.2009,7.0,Нижегородская область,01.09.2023 23:43:49
266,М,29.05.2009,8.0,Город Москва,04.09.2023 06:19:30
267,Ж,21.07.2007,10.0,Город Москва,06.09.2023 09:41:48
268,Ж,13.07.2007,10.0,Город Москва,24.08.2023 02:21:38
269,Ж,04.02.2008,9.0,Город Москва,30.08.2023 03:39:55
270,Ж,22.09.2006,10.0,Город Санкт-Петербург,26.08.2023 04:35:09
271,Ж,02.05.2007,10.0,Нижегородская область,21.08.2023 15:25:41
272,Ж,27.02.2007,10.0,Краснодарский край,16.08.2023 01:24:14
273,Ж,25.05.2009,8.0,Город Москва,06.09.2023 19:13:07
274,М,18.06.2008,9.0,Город Москва,14.08.2023 07:57:23
275,М,11.11.2006,10.0,Город Санкт-Петербург,14.08.2023 06:16:43
276,Ж,01.01.2009,8.0,Город Москва,28.08.2023 00:24:44
277,Ж,20.10.2009,,Краснодарский край,07.09.2023 19:13:47
278,Ж,15.05.2009,8.0,Новосибирская область,16.08.2023 11:20:27
279,М,22.02.2007,10.0,Город Москва,25.08.2023 21:10:19
280,М,01.08.2010,7.0,Город Санкт-Петербург,09.09.2023 13:04:01
281,М,28.08.2010,7.0,Новосибирская область,05.09.2023 21:09:30
282,М,27.12.2008,8.0,Новосибирская область,12.09.2023 08:28:18
283,Ж,08.06.2008,9.0,Город Санкт-Петербург,07.09.2023 22:13:04
284,М,10.07.2008,,Город Москва,25.08.2023 04:33:57
285,Ж,29.06.2009,8.0,Нижегородская область,05.09.2023 23:58:58
286,М,12.07.2009,,Краснодарский край,10.09.2023 03:37:17
287,М,12.01.2008,9.0,Краснодарский край,27.08.2023 03:23:00
288,М,08.09.2009,8.0,Город Москва,30.08.2023 05:45:27
289,Ж,10.11.2008,8.0,Новосибирская область,07.09.2023 22:06:58
290,Ж,22.03.2009,8.0,Город Москва,04.09.2023 11:51:01
291,М,16.03.2010,,Новосибирская область,29.08.2023 06:13:01
292,Ж,02.02.2007,10.0,Краснодарский край,15.08.2023 16:47:10
293,М,13.11.2007,9.0,Город Москва,01.09.2023 13:29:13
294,Ж,06.07.2008,9.0,Новосибирская область,10.09.2023 16:32:48
295,М,01.06.2010,,Краснодарский край,16.08.2023 01:53:54
296,М,28.08.2009,8.0,Город Москва,20.08.2023 22:03:05
297,Ж,10.06.2008,,Краснодарский край,07.09.2023 12:00:11
298,М,30.01.2008,9.0,Краснодарский край,19.08.2023 09:47:37
299,М,09.03.2010,7.0,Город Москва,28.08.2023 09:05:51
300,Ж,07.10.2008,8.0,Город Москва,09.09.2023 14:48:03
301,Ж,29.09.2009,7.0,Город Москва,02.09.2023 17:23:01
302,М,25.07.2009,8.0,Город Москва,12.09.2023 19:21:47
303,Ж,26.02.2008,9.0,Город Москва,12.09.2023 15:57:39
304,Ж,10.03.2007,10.0,Город Москва,11.09.2023 20:48:29
305,Ж,23.04.2008,9.0,Город Санкт-Петербург,30.08.2023 14:43:52
306,М,08.12.2007,9.0,Новосибирская область,14.08.2023 03:08:11
307,М,28.02.2007,10.0,Краснодарский край,30.08.2023 23:16:45
308,Ж,10.09.2010,7.0,Город Москва,31.08.2023 08:12:36
309,Ж,25.01.2009,,Город Санкт-Петербург,04.09.2023 14:31:43
310,Ж,26.08.2009,8.0,Город Москва,04.09.2023 17:00:10
311,Ж,23.07.2007,10.0,Новосибирская область,24.08.2023 00:38:50
312,М,15.08.2008,9.0,Город Москва,18.08.2023 23:10:30
313,Ж,25.11.2006,10.0,Город Москва,26.08.2023 15:36:00
314,М,31.08.2007,10.0,Город Москва,26.08.2023 07:39:23
315,М,12.01.2008,9.0,Город Москва,24.08.2023 05:02:33
316,Ж,17.03.2009,8.0,Город Москва,18.08.2023 22:03:22
317,М,13.04.2008,9.0,Город Санкт-Петербург,17.08.2023 05:05:43
318,М,25.09.2006,10.0,Нижегородская область,17.08.2023 23:18:36
319,М,15.08.2010,7.0,Новосибирская область,05.09.2023 22:36:46
320,М,01.03.2010,7.0,Город Москва,20.08.2023 21:40:36
321,Ж,30.07.2009,8.0,Новосибирская область,16.08.2023 14:48:50
322,М,19.07.2010,7.0,Город Санкт-Петербург,03.09.2023 14:54:29
323,Ж,14.11.2008,8.0,Новосибирская область,29.08.2023 12:56:53
324,Ж,22.04.2008,9.0,Город Москва,17.08.2023 14:37:02
325,Ж,24.03.2009,,Нижегородская область,03.09.2023 15:38:26
326,М,07.05.2010,7.0,Краснодарский край,06.09.2023 23:26:16
327,Ж,12.11.2006,10.0,Город Санкт-Петербург,21.08.2023 10:43:52
328,М,12.08.2007,10.0,Нижегородская область,30.08.2023 02:00:01
329,Ж,19.10.2007,9.0,Город Москва,28.08.2023 14:26:00
330,М,23.09.2009,7.0,Новосибирская область,30.08.2023 07:39:29
331,Ж,01.06.2007,10.0,Город Москва,21.08.2023 21:31:50
332,Ж,23.09.2007,9.0,Город Москва,23.08.2023 18:02:41
333,Ж,21.10.2008,,Город Москва,05.09.2023 17:15:09
334,Ж,18.06.2010,7.0,Краснодарский край,27.08.2023 11:35:42
335,М,03.06.2007,10.0,Город Москва,05.09.2023 00:46:19
336,Ж,14.09.2010,7.0,Нижегородская область,24.08.2023 06:57:45
337,М,06.08.2009,,Краснодарский край,25.08.2023 02:01:32
338,М,14.02.2007,,Город Санкт-Петербург,09.09.2023 02:59:01
339,Ж,14.11.2007,,Город Москва,24.08.2023 16:51:06
340,М,21.02.2008,,Город Санкт-Петербург,11.09.2023 12:05:56
341,М,04.07.2009,8.0,Город Москва,23.08.2023 15:27:04
342,М,17.01.2010,7.0,Нижегородская область,08.09.2023 04:02:57
343,Ж,08.10.2007,9.0,Город Санкт-Петербург,20.08.2023 17:59:39
344,М,05.06.2010,,Новосибирская область,04.09.2023 21:29:24
345,Ж,24.08.2009,8.0,Новосибирская область,05.09.2023 20:47:38
346,М,13.01.2009,8.0,Город Москва,03.09.2023 06:10:37
347,М,29.09.2008,8.0,Город Москва,23.08.2023 21:15:20
348,М,15.08.2008,9.0,Краснодарский край,08.09.2023 03:19:36
349,Ж,27.03.2010,,Нижегородская область,11.09.2023 00:52:13
350,Ж,24.02.2009,8.0,Город Москва,25.08.2023 04:51:06
351,Ж,11.09.2009,8.0,Город Москва,05.09.2023 22:50:31
352,М,01.12.2006,,Город Москва,21.08.2023 09:00:05
353,М,08.12.2008,8.0,Город Санкт-Петербург,02.09.2023 22:08:44
354,Ж,18.02.2007,10.0,Город Москва,03.09.2023 08:22:13
355,М,12.08.2009,8.0,Город Москва,11.09.2023 19:13:19
356,Ж,03.05.2007,10.0,Город Москва,31.08.2023 13:21:43
357,Ж,21.12.2007,,Город Москва,23.08.2023 01:25:25
358,М,06.12.2009,7.0,Город Москва,02.09.2023 18:22:37
359,М,06.06.2007,10.0,Краснодарский край,05.09.2023 15:08:56
360,М,27.08.2007,10.0,Город Москва,05.09.2023 15:10:28
361,М,09.10.2009,7.0,Краснодарский край,05.09.2023 23:20:09
362,М,16.12.2006,10.0,Город Москва,03.09.2023 16:52:17
363,Ж,08.11.2008,,Город Санкт-Петербург,06.09.2023 12:50:29
364,М,05.08.2010,7.0,Нижегородская область,16.08.2023 11:30:55
365,Ж,15.04.2009,8.0,Город Санкт-Петербург,14.08.2023 16:42:16
366,М,22.09.2007,9.0,Город Санкт-Петербург,22.08.2023 15:17:53
367,М,01.07.2010,7.0,Город Санкт-Петербург,05.09.2023 17:16:33
368,М,09.08.2008,,Нижегородская область,17.08.2023 09:45:11
369,М,17.09.2007,9.0,Город Санкт-Петербург,06.09.2023 14:00:57
370,Ж,27.09.2009,7.0,Новосибирская область,16.08.2023 04:38:46
371,М,30.05.2008,9.0,Нижегородская область,05.09.2023 22:05:31
372,Ж,27.05.2010,7.0,Краснодарский край,29.08.2023 03:43:03
373,Ж,29.06.2009,8.0,Краснодарский край,10.09.2023 11:35:06
374,Ж,13.09.2009,7.0,Новосибирская область,06.09.2023 12:38:23
375,Ж,29.05.2010,7.0,Город Москва,24.08.2023 11:53:51
376,Ж,14.04.2010,7.0,Нижегородская область,11.09.2023 18:44:19
377,М,01.08.2010,7.0,Город Москва,21.08.2023 17:23:08
378,М,25.05.2009,8.0,Город Москва,17.08.2023 12:29:55
379,Ж,11.02.2010,7.0,Нижегородская область,05.09.2023 07:50:40
380,Ж,16.07.2008,9.0,Город Москва,21.08.2023 11:19:49
381,М,02.12.2007,9.0,Город Санкт-Петербург,28.08.2023 08:12:24
382,М,01.07.2009,,Город Москва,22.08.2023 06:31:26
383,М,01.08.2007,10.0,Город Москва,19.08.2023 15:42:32
384,Ж,18.11.2006,10.0,Город Санкт-Петербург,16.08.2023 17:11:48
